location,Type,name
BTM,Buffet,25
BTM,Cafes,83
BTM,Delivery,3082
BTM,Desserts,202
BTM,Dine-out,1676
BTM,Drinks & nightlife,22
BTM,Pubs and bars,19
Banashankari,Buffet,7
Banashankari,Cafes,36
Banashankari,Delivery,419
Banashankari,Desserts,71
Banashankari,Dine-out,357
Banashankari,Drinks & nightlife,14
Banaswadi,Cafes,24
Banaswadi,Delivery,320
Banaswadi,Desserts,37
Banaswadi,Dine-out,271
Banaswadi,Drinks & nightlife,6
Banaswadi,Pubs and bars,1
Bannerghatta Road,Buffet,9
Bannerghatta Road,Cafes,46
Bannerghatta Road,Delivery,842
Bannerghatta Road,Desserts,137
Bannerghatta Road,Dine-out,583
Bannerghatta Road,Drinks & nightlife,9
Bannerghatta Road,Pubs and bars,2
Basavanagudi,Buffet,7
Basavanagudi,Cafes,11
Basavanagudi,Delivery,344
Basavanagudi,Desserts,66
Basavanagudi,Dine-out,251
Basavanagudi,Drinks & nightlife,5
Bellandur,Buffet,28
Bellandur,Cafes,36
Bellandur,Delivery,624
Bellandur,Desserts,77
Bellandur,Dine-out,485
Bellandur,Drinks & nightlife,17
Bellandur,Pubs and bars,16
Brigade Road,Buffet,25
Brigade Road,Cafes,46
Brigade Road,Delivery,497
Brigade Road,Desserts,108
Brigade Road,Dine-out,455
Brigade Road,Drinks & nightlife,57
Brigade Road,Pubs and bars,22
Brookefield,Buffet,6
Brookefield,Cafes,17
Brookefield,Delivery,340
Brookefield,Desserts,45
Brookefield,Dine-out,246
Brookefield,Drinks & nightlife,4
Church Street,Buffet,19
Church Street,Cafes,51
Church Street,Delivery,193
Church Street,Desserts,29
Church Street,Dine-out,215
Church Street,Drinks & nightlife,36
Church Street,Pubs and bars,23
Commercial Street,Cafes,13
Commercial Street,Delivery,121
Commercial Street,Desserts,77
Commercial Street,Dine-out,159
Cunningham Road,Buffet,29
Cunningham Road,Cafes,34
Cunningham Road,Delivery,194
Cunningham Road,Desserts,26
Cunningham Road,Dine-out,184
Cunningham Road,Drinks & nightlife,16
Cunningham Road,Pubs and bars,7
Domlur,Buffet,15
Domlur,Cafes,17
Domlur,Delivery,261
Domlur,Desserts,35
Domlur,Dine-out,144
Domlur,Drinks & nightlife,12
Domlur,Pubs and bars,12
Ejipura,Delivery,250
Ejipura,Desserts,16
Ejipura,Dine-out,172
Electronic City,Buffet,23
Electronic City,Cafes,24
Electronic City,Delivery,575
Electronic City,Desserts,71
Electronic City,Dine-out,521
Electronic City,Drinks & nightlife,21
Electronic City,Pubs and bars,21
Frazer Town,Buffet,1
Frazer Town,Cafes,11
Frazer Town,Delivery,474
Frazer Town,Desserts,56
Frazer Town,Dine-out,174
Frazer Town,Drinks & nightlife,2
Frazer Town,Pubs and bars,2
HSR,Buffet,19
HSR,Cafes,49
HSR,Delivery,1714
HSR,Desserts,123
HSR,Dine-out,584
HSR,Drinks & nightlife,14
HSR,Pubs and bars,18
Indiranagar,Buffet,38
Indiranagar,Cafes,100
Indiranagar,Delivery,1116
Indiranagar,Desserts,146
Indiranagar,Dine-out,540
Indiranagar,Drinks & nightlife,67
Indiranagar,Pubs and bars,68
JP Nagar,Buffet,45
JP Nagar,Cafes,76
JP Nagar,Delivery,1159
JP Nagar,Desserts,166
JP Nagar,Dine-out,730
JP Nagar,Drinks & nightlife,51
JP Nagar,Pubs and bars,7
Jayanagar,Buffet,27
Jayanagar,Cafes,77
Jayanagar,Delivery,1049
Jayanagar,Desserts,182
Jayanagar,Dine-out,579
Jayanagar,Drinks & nightlife,12
Kalyan Nagar,Buffet,9
Kalyan Nagar,Cafes,45
Kalyan Nagar,Delivery,370
Kalyan Nagar,Desserts,88
Kalyan Nagar,Dine-out,323
Kalyan Nagar,Drinks & nightlife,18
Kammanahalli,Buffet,2
Kammanahalli,Cafes,27
Kammanahalli,Delivery,332
Kammanahalli,Desserts,35
Kammanahalli,Dine-out,245
Kammanahalli,Drinks & nightlife,6
Koramangala 1st Block,Buffet,3
Koramangala 1st Block,Cafes,26
Koramangala 1st Block,Delivery,717
Koramangala 1st Block,Desserts,70
Koramangala 1st Block,Dine-out,398
Koramangala 1st Block,Drinks & nightlife,7
Koramangala 1st Block,Pubs and bars,16
Koramangala 4th Block,Buffet,21
Koramangala 4th Block,Cafes,53
Koramangala 4th Block,Delivery,464
Koramangala 4th Block,Desserts,81
Koramangala 4th Block,Dine-out,302
Koramangala 4th Block,Drinks & nightlife,62
Koramangala 4th Block,Pubs and bars,34
Koramangala 5th Block,Buffet,65
Koramangala 5th Block,Cafes,151
Koramangala 5th Block,Delivery,1082
Koramangala 5th Block,Desserts,210
Koramangala 5th Block,Dine-out,852
Koramangala 5th Block,Drinks & nightlife,84
Koramangala 5th Block,Pubs and bars,58
Koramangala 6th Block,Buffet,18
Koramangala 6th Block,Cafes,43
Koramangala 6th Block,Delivery,526
Koramangala 6th Block,Desserts,70
Koramangala 6th Block,Dine-out,423
Koramangala 6th Block,Drinks & nightlife,51
Koramangala 6th Block,Pubs and bars,23
Koramangala 7th Block,Buffet,25
Koramangala 7th Block,Cafes,52
Koramangala 7th Block,Delivery,508
Koramangala 7th Block,Desserts,127
Koramangala 7th Block,Dine-out,417
Koramangala 7th Block,Drinks & nightlife,25
